interval,#all,%eigen,%spantree,%cosine,%common,%amount
0,5839,0.00325398,0.00171262,0.00667923,0.00102757,2.84175
0.0357,12434,0.0243687,0.00780119,0.0197845,0.00683609,2.94515
0.0714,17457,0.0215386,0.00744687,0.0233144,0.00607206,2.96712
0.1071,22994,0.0313995,0.0102201,0.029138,0.00739323,2.97791
0.1428,26661,0.0394209,0.0153408,0.0381456,0.0118525,2.9832
0.1785,28826,0.0256019,0.00978283,0.0261223,0.00745854,2.98376
0.2142,30492,0.0436836,0.021645,0.0466024,0.0155123,2.98609
0.2499,30406,0.044136,0.0225613,0.047688,0.0157206,2.98895
0.2856,29803,0.0416065,0.023152,0.0469416,0.0149985,2.98785
0.3213,29318,0.0415444,0.0235009,0.0472065,0.0156559,2.98486
0.357,28269,0.0673176,0.0388765,0.0732251,0.0291839,2.98528
0.3927,25682,0.0535784,0.0323962,0.0599642,0.0220388,2.98559
0.4284,25040,0.0792732,0.0492812,0.0908147,0.0348642,2.98435
0.4641,22402,0.0831622,0.0515579,0.0942327,0.0376306,2.98875
0.4998,21789,0.0861903,0.0555785,0.105787,0.0352471,2.98449
0.5355,19967,0.10933,0.0659087,0.120048,0.0471778,2.98247
0.5712,18772,0.143245,0.0833156,0.153846,0.0681867,2.98519
0.6069,17074,0.125161,0.0803561,0.147827,0.0523603,2.99028
0.6426,16895,0.160994,0.0925718,0.172299,0.0723883,2.98165
0.6783,16634,0.198088,0.117831,0.222376,0.094385,2.98774
0.714,14340,0.126011,0.0776151,0.148884,0.051325,2.98131
0.7497,16309,0.279723,0.148323,0.285487,0.133178,2.98847
0.7854,14221,0.16778,0.102173,0.198791,0.074608,2.98762
0.8211,14702,0.22582,0.120528,0.241464,0.101551,2.98449
0.8568,14016,0.217323,0.123573,0.240297,0.10488,2.98744
0.8925,14212,0.261962,0.135941,0.279412,0.121376,2.99198
0.9282,13810,0.24084,0.133961,0.263432,0.118827,2.98755
0.9639,13667,0.26553,0.129216,0.276579,0.114509,2.99254
0.9996,13430,0.254505,0.140804,0.276322,0.126433,2.99106
1.0353,14043,0.289967,0.14007,0.301004,0.129602,2.99288
1.071,12925,0.219574,0.116518,0.239923,0.101586,2.99195
1.1067,15114,0.362181,0.184862,0.372568,0.177584,2.99457
1.1424,12557,0.179581,0.0869634,0.202517,0.0709564,2.99235
1.1781,14071,0.310212,0.161893,0.322152,0.156492,2.99431
1.2138,13363,0.259223,0.127666,0.273965,0.117114,2.99491
1.2495,12402,0.234075,0.109982,0.247783,0.103774,2.99452
1.2852,14206,0.298606,0.14874,0.307828,0.144868,2.99296
1.3209,12014,0.201099,0.0925587,0.213834,0.0849842,2.9965
1.3566,13331,0.293076,0.149126,0.300728,0.146951,2.99415
1.3923,12927,0.273845,0.120987,0.277094,0.117351,2.9966
1.428,12464,0.218309,0.106707,0.228498,0.102616,2.99551
1.4637,13016,0.295175,0.146666,0.301629,0.144207,2.9957
1.4994,11823,0.203417,0.0871183,0.210353,0.0840734,2.9978
1.5351,11687,0.199452,0.0954052,0.209977,0.0933516,2.99658
1.5708,12982,0.289786,0.143815,0.294639,0.14212,2.99599
1.6065,10224,0.132433,0.0419601,0.14153,0.0400039,2.99824
1.6422,12145,0.254673,0.13487,0.260025,0.1338,2.99769
1.6779,11643,0.257322,0.119299,0.258009,0.118612,2.99691
1.7136,10155,0.154899,0.0543575,0.162482,0.0527819,2.99882
1.7493,10408,0.173328,0.0816679,0.177075,0.0811875,2.99673
1.785,10709,0.226538,0.114763,0.228499,0.11439,2.99795
1.8207,10199,0.209432,0.0950093,0.213158,0.0946171,2.99882
1.8564,9196,0.135711,0.0473032,0.142018,0.0468682,2.99761
1.8921,9000,0.153222,0.0781111,0.156889,0.0777778,2.99822
1.9278,9994,0.238543,0.11737,0.238943,0.11727,2.9986
1.9635,8010,0.112609,0.029588,0.115855,0.0293383,2.99875
1.9992,7881,0.0955463,0.0441568,0.0985915,0.0441568,2.99848
2.0349,8540,0.200117,0.11007,0.202342,0.11007,2.99859
2.0706,7627,0.161138,0.0595254,0.162318,0.0595254,2.99869
2.1063,6635,0.0501884,0.00587792,0.051997,0.00587792,2.9994
2.142,6738,0.0795488,0.0427427,0.0820718,0.0427427,2.99881
2.1777,6989,0.192016,0.0985835,0.192016,0.0985835,2.99857
2.2134,5893,0.0767012,0.0159511,0.0787375,0.0159511,2.99932
2.2491,5359,0.017354,0.000559806,0.0195932,0.000559806,3
2.2848,5682,0.117388,0.0675818,0.118796,0.0675818,2.99789
2.3205,5026,0.0815758,0.0314365,0.0817748,0.0314365,2.9992
2.3562,4495,0.0295884,0.00155729,0.029366,0.00155729,3
2.3919,4219,0.0248874,0.0146954,0.0260725,0.0146954,2.99953
2.4276,3999,0.0587647,0.0290073,0.0597649,0.0290073,2.9985
2.4633,3755,0.0255659,0.00532623,0.0260985,0.00532623,2.99947
2.499,3061,0.00588043,0,0.00620712,0,3
2.5347,3133,0.00159591,0,0.0019151,0,2.99936
2.5704,2689,0.00148754,0,0.00111566,0,3
2.6061,2499,0,0,0,0,3
2.6418,2238,0,0,0,0,3
2.6775,2049,0,0,0,0,3
2.7132,1777,0,0,0,0,3
2.7489,1664,0,0,0,0,3
2.7846,1347,0,0,0,0,3
2.8203,1243,0,0,0,0,3
2.856,1092,0,0,0,0,3
2.8917,927,0,0,0,0,3
2.9274,854,0,0,0,0,3
2.9631,675,0,0,0,0,3
2.9988,564,0,0,0,0,3
3.0345,501,0,0,0,0,3
3.0702,402,0,0,0,0,3
3.1059,353,0,0,0,0,3
3.1416,244,0,0,0,0,3
3.1773,231,0,0,0,0,3
3.213,160,0,0,0,0,3
3.2487,132,0,0,0,0,3
3.2844,98,0,0,0,0,3
3.3201,75,0,0,0,0,3
3.3558,53,0,0,0,0,3
3.3915,40,0,0,0,0,3
3.4272,23,0,0,0,0,3
3.4629,22,0,0,0,0,3
3.4986,12,0,0,0,0,3
3.5343,4,0,0,0,0,3
3.57,5,0,0,0,0,3
3.6057,3,0,0,0,0,3
3.6414,0,0,0,0,0,0
3.6771,1,0,0,0,0,3
3.7128,0,0,0,0,0,0
3.7485,0,0,0,0,0,0
